movieId,title,genres,matched_title
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,Léon: The Professional
294,"Perez Family, The (1995)",Comedy|Romance,The Perez Family
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,A Pyromaniac's Love Story
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,Pulp Fiction
298,Pushing Hands (Tui shou) (1992),Drama,Bird in the Hand
299,Priest (1994),Drama,Winter 1994
300,Quiz Show (1994),Drama,Quiz Show
301,Picture Bride (Bijo photo) (1994),Drama|Romance,"Oasis: Live at The Metro, Chicago 1994"
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,Queen Margot
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,The Quick and the Dead
304,Roommates (1995),Comedy|Drama,Roommates
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,Ready to Wear
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,Three Colors: Red
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,Three Colors: Blue
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,Three Colors: White
310,Rent-a-Kid (1995),Comedy,Rent-a-Kid
311,Relative Fear (1994),Horror|Thriller,ECW Heat Wave 1994
312,Stuart Saves His Family (1995),Comedy,Stuart Saves His Family
313,"Swan Princess, The (1994)",Animation|Children,The Swan Princess
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,The Secret of Roan Inish
315,"Specialist, The (1994)",Action|Drama|Thriller,The Specialist
316,Stargate (1994),Action|Adventure|Sci-Fi,Stargate
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,The Santa Clause
318,"Shawshank Redemption, The (1994)",Crime|Drama,The Shawshank Redemption
319,Shallow Grave (1994),Comedy|Drama|Thriller,Shallow Grave
320,Suture (1993),Film-Noir|Thriller,Suture
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,Strawberry and Chocolate
322,Swimming with Sharks (1995),Comedy|Drama,Skating with Dave and Jared
324,"Sum of Us, The (1994)",Comedy|Drama,The Sum of Us
325,National Lampoon's Senior Trip (1995),Comedy,National Lampoon's Favorite Deadly Sins
326,To Live (Huozhe) (1994),Drama,1942: A Love Story
327,Tank Girl (1995),Action|Comedy|Sci-Fi,Tank Girl
328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,Tales from the Crypt: Demon Knight
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,Star Trek: Generations
330,Tales from the Hood (1995),Action|Crime|Horror,Tales from the Hood
331,Tom & Viv (1994),Drama,Tom & Viv
332,Village of the Damned (1995),Horror|Sci-Fi,Village of the Damned
333,Tommy Boy (1995),Comedy,Tommy Boy
334,Vanya on 42nd Street (1994),Drama,Vanya on 42nd Street
335,Underneath (1995),Mystery|Thriller,The Underneath
336,"Walking Dead, The (1995)",Drama|War,The Walking Dead
337,What's Eating Gilbert Grape (1993),Drama,What's Eating Gilbert Grape
338,Virtuosity (1995),Action|Sci-Fi|Thriller,Virtuosity
339,While You Were Sleeping (1995),Comedy|Romance,While You Were Sleeping
340,"War, The (1994)",Adventure|Drama|War,The War
341,Double Happiness (1994),Drama,Double Happiness
342,Muriel's Wedding (1994),Comedy,Muriel's Wedding
343,"Baby-Sitters Club, The (1995)",Children,The Baby-Sitters Club
344,Ace Ventura: Pet Detective (1994),Comedy,Ace Ventura: Pet Detective
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,"The Adventures of Priscilla, Queen of the Desert"
346,Backbeat (1993),Drama|Musical,WCW Beach Blast 1993
347,Bitter Moon (1992),Drama|Film-Noir|Romance,Bitter Moon
348,Bullets Over Broadway (1994),Comedy,Bullets Over Broadway
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,Clear and Present Danger
350,"Client, The (1994)",Drama|Mystery|Thriller,The Client
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,"Corrina, Corrina"
352,Crooklyn (1994),Comedy|Drama,Crooklyn
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,The Crow
354,Cobb (1994),Drama,Cobb
355,"Flintstones, The (1994)",Children|Comedy|Fantasy,The Flintstones
356,Forrest Gump (1994),Comedy|Drama|Romance|War,Forrest Gump
357,Four Weddings and a Funeral (1994),Comedy|Romance,Four Weddings and a Funeral
358,Higher Learning (1995),Drama,Higher Learning
359,I Like It Like That (1994),Comedy|Drama|Romance,I Like It Like That
360,I Love Trouble (1994),Action|Comedy,I Love Trouble
361,It Could Happen to You (1994),Comedy|Drama|Romance,It Could Happen to You
362,"Jungle Book, The (1994)",Adventure|Children|Romance,The Jungle Book
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,"The Wonderful, Horrible Life of Leni Riefenstahl"
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,The Lion King
365,Little Buddha (1993),Drama,Little Buddha
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,The Ten Commandments Number 1: Thou Shalt Not Adore False Gods
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,The Mask
368,Maverick (1994),Adventure|Comedy|Western,Maverick
369,Mrs. Parker and the Vicious Circle (1994),Drama,Mrs. Parker and the Vicious Circle
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,Naked Gun 33⅓: The Final Insult
371,"Paper, The (1994)",Comedy|Drama,The Paper
372,Reality Bites (1994),Comedy|Drama|Romance,Reality Bites
373,Red Rock West (1992),Thriller,Black History 1992
374,Richie Rich (1994),Children|Comedy,Ri¢hie Ri¢h
376,"River Wild, The (1994)",Action|Thriller,The River Wild
377,Speed (1994),Action|Romance|Thriller,Lindenfeld 1994
378,Speechless (1994),Comedy|Romance,Speechless
379,Timecop (1994),Action|Sci-Fi|Thriller,Timecop
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,True Lies
381,When a Man Loves a Woman (1994),Drama|Romance,When a Man Loves a Woman
382,Wolf (1994),Drama|Horror|Romance|Thriller,"Holidaze, 1994"
383,Wyatt Earp (1994),Western,Wyatt Earp
384,Bad Company (1995),Action|Crime|Drama,Bad Company
385,"Man of No Importance, A (1994)",Drama,A Man of No Importance
386,S.F.W. (1994),Drama,S.F.W.
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,A Low Down Dirty Shame
388,Boys Life (1995),Drama,A Borrowed Life
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,Colonel Chabert
390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,"Faster, Pussycat! Kill! Kill!"
391,Jason's Lyric (1994),Crime|Drama,Jason's Lyric
393,Street Fighter (1994),Action|Adventure|Fantasy,Street Fighter
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,Highlander III: The Sorcerer
406,Federal Hill (1994),Drama,WCW Fall Brawl 1994
407,In the Mouth of Madness (1995),Horror|Thriller,In the Mouth of Madness
408,8 Seconds (1994),Drama,8 Seconds
409,Above the Rim (1994),Crime|Drama,Above the Rim
410,Addams Family Values (1993),Children|Comedy|Fantasy,Addams Family Values
412,"Age of Innocence, The (1993)",Drama,The Age of Innocence
413,Airheads (1994),Comedy,Airheads
414,"Air Up There, The (1994)",Comedy,The Air Up There
415,Another Stakeout (1993),Comedy|Thriller,Another Stakeout
416,Bad Girls (1994),Western,Bad Girls
417,Barcelona (1994),Comedy|Romance,Barcelona
418,Being Human (1993),Drama,A Woman Being in Asia
419,"Beverly Hillbillies, The (1993)",Comedy,The Beverly Hillbillies
420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,Beverly Hills Cop III
421,Black Beauty (1994),Adventure|Children|Drama,Black Beauty
422,Blink (1994),Thriller,Winter 1994
423,Blown Away (1994),Action|Thriller,Blown Away
424,Blue Chips (1994),Drama,Blue Chips
425,Blue Sky (1994),Drama|Romance,Blue Sky
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,Body Snatchers
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,Boxing Helena
428,"Bronx Tale, A (1993)",Drama,A Bronx Tale
429,Cabin Boy (1994),Comedy,Cabin Boy
430,Calendar Girl (1993),Comedy|Drama,Calendar Girl
431,Carlito's Way (1993),Crime|Drama,Carlito's Way
432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,City Slickers II: The Legend of Curly's Gold
433,Clean Slate (1994),Comedy,Clean Slate
434,Cliffhanger (1993),Action|Adventure|Thriller,Cliffhanger
435,Coneheads (1993),Comedy|Sci-Fi,Coneheads
436,Color of Night (1994),Drama|Thriller,Color of Night
437,Cops and Robbersons (1994),Comedy,Cops and Robbers
438,"Cowboy Way, The (1994)",Action|Comedy|Drama,The Cowboy Way
440,Dave (1993),Comedy|Romance,Dave
441,Dazed and Confused (1993),Comedy,Dazed and Confused
442,Demolition Man (1993),Action|Adventure|Sci-Fi,Demolition Man
444,Even Cowgirls Get the Blues (1993),Comedy|Romance,Rokudenashi Blues 1993
445,Fatal Instinct (1993),Comedy,Fatal Instinct
446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,Farewell My Concubine
448,Fearless (1993),Drama,Fearless
449,Fear of a Black Hat (1994),Comedy,Fear of a Black Hat
450,With Honors (1994),Comedy|Drama,With Honors
451,Flesh and Bone (1993),Drama|Mystery|Romance,Flesh and Bone
452,Widows' Peak (1994),Drama,Widows' Peak
453,For Love or Money (1993),Comedy|Romance,For Love or Money
454,"Firm, The (1993)",Drama|Thriller,The Firm
455,Free Willy (1993),Adventure|Children|Drama,Free Willy
456,Fresh (1994),Crime|Drama|Thriller,Fresh
457,"Fugitive, The (1993)",Thriller,The Fugitive
458,Geronimo: An American Legend (1993),Drama|Western,Geronimo: An American Legend
459,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller,The Getaway
460,Getting Even with Dad (1994),Comedy,Getting Even with Dad
461,Go Fish (1994),Drama|Romance,Go Fish
464,Hard Target (1993),Action|Adventure|Crime|Thriller,Hard Target
466,Hot Shots! Part Deux (1993),Action|Comedy|War,Hot Shots! Part Deux
467,Live Nude Girls (1995),Comedy,Live Nude Girls
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance,The Englishman Who Went Up a Hill But Came Down a Mountain
469,"House of the Spirits, The (1993)",Drama|Romance,The House of the Spirits
470,House Party 3 (1994),Comedy,House Party 3
471,"Hudsucker Proxy, The (1994)",Comedy,The Hudsucker Proxy
472,I'll Do Anything (1994),Comedy|Drama,I'll Do Anything
473,In the Army Now (1994),Comedy|War,In the Army Now
474,In the Line of Fire (1993),Action|Thriller,In the Line of Fire
475,In the Name of the Father (1993),Drama,In the Name of the Father
476,"Inkwell, The (1994)",Comedy|Drama,The Inkwell
477,What's Love Got to Do with It? (1993),Drama|Musical,What's Love Got to Do with It
478,Jimmy Hollywood (1994),Comedy|Crime|Drama,Jimmy Hollywood
